iter	Passed	Remaining
659	1477	760
660	1479	758
661	1480	756
662	1482	753
663	1484	751
664	1485	748
665	1486	745
666	1490	743
667	1492	741
668	1494	739
669	1495	736
670	1497	734
671	1498	731
672	1499	728
673	1502	726
674	1504	724
675	1505	721
676	1507	719
677	1508	716
678	1509	713
679	1511	711
680	1514	709
681	1515	706
682	1516	703
683	1518	701
684	1519	698
685	1520	696
686	1522	693
687	1525	691
688	1527	689
689	1528	686
690	1530	684
691	1531	681
692	1532	679
693	1535	676
694	1537	674
695	1538	672
696	1540	669
697	1542	667
698	1543	664
699	1546	662
700	1549	660
701	1551	658
702	1552	655
703	1554	653
704	1555	650
705	1557	648
706	1559	646
707	1561	644
708	1563	641
709	1564	639
710	1566	636
711	1567	634
712	1569	631
713	1571	629
714	1573	627
715	1575	624
716	1576	622
717	1577	619
718	1579	617
719	1581	614
720	1583	612
721	1585	610
722	1587	608
723	1588	605
724	1590	603
725	1592	600
726	1594	598
727	1596	596
728	1597	594
729	1599	591
730	1601	589
731	1603	586
732	1606	585
733	1608	583
734	1610	580
735	1611	577
736	1613	575
737	1614	573
738	1615	570
739	1617	568
740	1619	566
741	1620	563
742	1622	561
743	1623	558
744	1625	556
745	1626	553
746	1628	551
747	1630	549
748	1631	546
749	1632	544
750	1634	541
751	1635	539
752	1636	536
753	1638	534
754	1639	532
755	1642	529
756	1643	527
757	1645	525
758	1647	523
759	1648	520
760	1650	518
761	1651	515
762	1653	513
763	1655	511
764	1656	508
765	1657	506
766	1659	503
767	1660	501
768	1661	499
769	1663	496
770	1665	494
771	1666	492
772	1667	489
773	1669	487
774	1670	484
775	1671	482
776	1672	480
777	1675	477
778	1677	475
779	1678	473
780	1680	471
781	1682	468
782	1683	466
783	1684	464
784	1686	461
785	1688	459
786	1690	457
787	1692	455
788	1693	452
789	1694	450
790	1696	448
791	1698	445
792	1700	443
793	1701	441
794	1703	439
795	1704	436
796	1705	434
797	1706	432
798	1708	429
799	1709	427
800	1711	425
801	1713	422
802	1714	420
803	1715	418
804	1716	415
805	1718	413
806	1719	411
807	1722	409
808	1724	407
809	1725	404
810	1726	402
811	1727	400
812	1729	397
813	1730	395
814	1731	393
815	1734	391
816	1736	388
817	1737	386
818	1738	384
819	1739	381
820	1741	379
821	1742	377
822	1743	375
823	1746	372
824	1747	370
825	1748	368
826	1750	366
827	1751	363
828	1752	361
829	1754	359
830	1756	357
831	1758	355
832	1759	352
833	1760	350
834	1762	348
835	1763	345
836	1765	343
837	1769	342
838	1771	339
839	1772	337
840	1774	335
841	1775	333
842	1777	331
843	1778	328
844	1780	326
845	1782	324
846	1783	322
847	1784	319
848	1785	317
849	1787	315
850	1788	313
851	1789	310
852	1792	308
853	1793	306
854	1794	304
855	1795	302
856	1796	299
857	1798	297
858	1799	295
859	1800	293
860	1802	290
861	1804	288
862	1805	286
863	1806	284
864	1807	282
865	1809	279
866	1810	277
867	1811	275
868	1812	273
869	1814	271
870	1816	269
871	1817	266
872	1818	264
873	1820	262
874	1821	260
875	1822	257
876	1823	255
877	1825	253
878	1827	251
879	1828	249
880	1830	247
881	1831	245
882	1832	242
883	1834	240
884	1835	238
885	1837	236
886	1839	234
887	1841	232
888	1842	230
889	1843	227
890	1844	225
891	1846	223
892	1847	221
893	1848	219
894	1851	217
895	1853	215
896	1854	212
897	1856	210
898	1858	208
899	1859	206
900	1860	204
901	1861	202
902	1864	200
903	1865	198
904	1866	195
905	1867	193
906	1869	191
907	1870	189
908	1872	187
909	1873	185
910	1875	183
911	1876	181
912	1877	178
913	1879	176
914	1880	174
915	1881	172
916	1883	170
917	1884	168
918	1885	166
919	1887	164
920	1888	161
921	1890	159
922	1891	157
923	1892	155
924	1893	153
925	1894	151
926	1896	149
927	1932	149
928	1933	147
929	1935	145
